 ,         May 2011,         May 2010,  Current/YR (Cum), Previous/YR (Cum)
LESS: EXPENSES,-250.88,-285.27,-68018.34,-101506.87
 ,*******************,*******************,*******************,*******************
COST OF SALES,124.72,-312.47,-55717.77,-85982.71
COMMISSION PAID,-375.6,27.2,-12300.57,-15524.16
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-255.01,91.11,3081.5,5155.38
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,  16.98%,  21.63%,  19.38%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,117747.88,88100.37,1167824.45,1186636.09
LESS: EXPENSES,-32327.68,-39034.67,-470249.22,-512647.56
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,7.28,-16.92,19.02,-228.49
    NAMEPLATES,21.11,-2037.46,-26326.26,-42616.33
    MAINT & DEPR - VEHICLES,-1655.6,-676.99,-11305.04,-13665.46
    FUEL,0.11,-1068.51,-2115.72,-14076.93
    MAINT & DEPR - EQUIPMENT,-7.26,-11.35,-79.86,-127.33
    UNDERTAKERSFEE,-9291.71,-10142.94,-114973.91,-96821.99
    TELEPHONE COSTS,-508.52,-441.99,-6321.2,-6711.52
NON CORE SERVICES,0,0,0,0
    TRANSPORT,315.29,47.7,-16384.31,-30406.58
    EQUIPMENT,-6033.49,-1220.23,-48532.84,-19687.63
    REFRESHMENTS,82.5,-213.75,-14954.63,-10908.34
    COMPENSATION,-611.01,-794.9,-12991.73,-4614.56
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-5693.75,-13289.85,-132043.28,-179957.24
    DOCTERS' FEES,-2907.59,-3604.44,-24739.25,-33110.86
    GRAVE COSTS,-1135.08,-3553.04,-15331.47,-17445.76
    RENTAL EXPENSES,26.75,2.8,-1643.81,-7.41
    CREMATION FEES,19.87,15.15,-621.28,-645.59
    OTHER TRANSPORT,47.84,76.52,-9941.14,-11901.01
    COMMUNITY INVOLVEMENT,-1250,-800,-12350,-13847.95
    SUNDRY EXPENSES,-3754.42,-1304.47,-19612.51,-15866.58
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,85420.2,49065.7,697575.23,673988.53
 ,-----------------,-----------------,-----------------,-----------------
