 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%


WREATH ACCOUNT
--------------
WREATH SALES,-12.44,10.77,-63.45,-182.23
LESS: EXPENSES,-6.77,-423.3,95.49,1648.16
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COST OF SALES- FRESH FLOWERS,-6.77,-423.3,95.49,1647.79
COMMISSION,0,0,0,0.37
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-19.21,-412.53,32.04,1465.93
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%, 100.00%,   0.00%,   0.00%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-0.19,-0.49,-4.91,-5.35
LESS: EXPENSES,83.37,-95.66,389.87,-1176.81
 ,*******************,*******************,*******************,*******************
COST OF SALES,126.08,174.62,1180.63,-255.23
COMMISSION PAID,-42.71,-270.28,-790.76,-921.58
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,83.18,-96.15,384.96,-1182.16
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,-1120.69,630.98,-11340.79,-2517.78
LESS: EXPENSES,-1169.89,9913.88,-7824.4,-6081.92
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,36.07,-35.85,12.2,-34.9
    NAMEPLATES,-10.42,3.09,-9.88,-1.81
    MAINT & DEPR - VEHICLES,-855.51,-566.82,-6947.04,-6239.28
    FUEL,-44.59,-110.23,-477.74,-996.44
    MAINT & DEPR - EQUIPMENT,-77.55,-85.96,-620.4,-710.62
    UNDERTAKERSFEE,35.72,26.62,-317.42,-485.86
    TELEPHONE COSTS,-5.15,11.28,36.9,-113.3
NON CORE SERVICES,0,0,0,0
    TRANSPORT,185.8,56.71,316.33,-732.68
    EQUIPMENT,-112.17,239.93,36.28,-896.28
    REFRESHMENTS,6.75,2.46,-13.76,-40.19
    COMPENSATION,0,0,0,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-593.59,380.97,-1577.62,-3074.54
    DOCTERS' FEES,23.76,53.14,127.18,-305.99
    GRAVE COSTS,237.18,4360.45,1237.96,9034.97
    RENTAL EXPENSES,15.33,1.4,5.83,-25.6
    CREMATION FEES,42.66,-15.74,366.52,-92.61
    OTHER TRANSPORT,71.64,-9.52,581.43,-428.06
    COMMUNITY INVOLVEMENT,0,1.41,0,2.82
    SUNDRY EXPENSES,-125.82,5600.54,-581.17,-941.55
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-2290.58,10544.86,-19165.19,-8599.7
 ,-----------------,-----------------,-----------------,-----------------
