 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)
COST OF SALES,-17019.2,-7700.18,-147264.09,-106850.77
COMMISSION PAID,-2283.52,-1121.21,-23254.93,-14694.17
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,4714.28,-1145.95,36803.74,9165.51
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  29.13%,  -0.32%,  28.96%,  18.25%


WREATH ACCOUNT
--------------
WREATH SALES,6750.22,4174.49,57696.2,40647.76
LESS: EXPENSES,-5156.12,-3668.52,-60201.19,-37243.36
 ,*******************,*******************,*******************,*******************
COST OF SALES,-2855.55,-2475.45,-30521.5,-22464.75
COST OF SALES- FRESH FLOWERS,-1616.68,-775.67,-23839.67,-10712.37
COMMISSION,-683.89,-417.4,-5840.02,-4066.24
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,1594.1,505.97,-2504.99,3404.4
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  57.69%,  40.70%,  47.09%,  44.73%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-0.01,29728.91,98379.14,35110.98
LESS: EXPENSES,6.62,-24082.05,-92913.75,-35187.1
 ,*******************,*******************,*******************,*******************
COST OF SALES,10,-23355.03,-80964.96,-27800.09
COMMISSION PAID,-3.38,-727.02,-11948.79,-7387.01
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,6.61,5646.86,5465.39,-76.12
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,  21.44%,  17.70%,  20.82%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,58013.07,54852.48,709638.34,555333.3
LESS: EXPENSES,-51609.57,-54258.77,-513562.83,-423328.76
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,-2803.89,-2.84,-5055.77,-2.77
    NAMEPLATES,-117.82,-116.76,-1196.77,-1105.15
    MAINT & DEPR - VEHICLES,-8506.55,-18816.46,-59063.82,-56256.61
    FUEL,-4580.12,-5381.52,-55088.51,-47686.77
    MAINT & DEPR - EQUIPMENT,-290.41,-340.44,-6922.44,-2722.93
    UNDERTAKERSFEE,-11673.96,-10794.94,-104586.38,-85917.57
    TELEPHONE COSTS,-295.4,-299.1,-3401.28,-2531.97
NON CORE SERVICES,0,0,0,0
    TRANSPORT,-7295.23,-5843.47,-96831.76,-79949.86
    EQUIPMENT,-2609.44,-3400.89,-29941.93,-33797.39
    REFRESHMENTS,-1811.07,-2631.4,-32063.09,-17892.52
    COMPENSATION,-1102.11,-1322.93,-16469.7,-8683.27
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-4835.64,-2969.79,-50054.43,-35864.23
    DOCTERS' FEES,-398.12,-195.79,-4197.82,-1718.25
    GRAVE COSTS,18.8,394,-601.84,748.12
    RENTAL EXPENSES,1.22,0.11,0.48,-2.01
    CREMATION FEES,-1900.42,-1.25,-2672.73,-5063.55
    OTHER TRANSPORT,5.68,-0.75,-5096.72,-15680.38
    COMMUNITY INVOLVEMENT,-650,-824.89,-8400,-7399.78
    SUNDRY EXPENSES,-2765.09,-1709.66,-31918.32,-21801.87
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,6403.5,593.71,196075.51,132004.54
 ,-----------------,-----------------,-----------------,-----------------
