 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)

WREATH ACCOUNT
--------------
WREATH SALES,1137.57,856.49,21630.6,11194.94
LESS: EXPENSES,-1072.24,-858.93,-19607.34,-7905.04
 ,*******************,*******************,*******************,*******************
COST OF SALES,-860.93,-702.66,-16236.67,-4889.74
COST OF SALES- FRESH FLOWERS,-1.32,-82.68,18.65,-1945.65
COMMISSION,-209.99,-73.59,-3389.32,-1069.65
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,65.33,-2.44,2023.26,3289.9
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  24.31%,  17.96%,  24.93%,  56.32%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,2847.28,4656.04,47054.61,31910.42
LESS: EXPENSES,-2415.92,-5681.3,-44257.07,-32102.21
 ,*******************,*******************,*******************,*******************
COST OF SALES,-2407.58,-3740.68,-38648.38,-25852.33
COMMISSION PAID,-8.34,-1940.62,-5608.69,-6249.88
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,431.36,-1025.26,2797.54,-191.79
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  15.44%,  19.65%,  17.86%,  18.98%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,26834.18,12134.63,415492.23,173438.98
LESS: EXPENSES,-18597.23,-60019.1,-321178.09,-218682.77
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,7.04,-7,-5687.22,-6.83
    NAMEPLATES,-87.03,-51.4,-593.92,-551.35
    MAINT & DEPR - VEHICLES,-1157.05,-3874.35,-41186.97,-53027.26
    FUEL,-2023.82,-3814.4,-22022.67,-24884.18
    MAINT & DEPR - EQUIPMENT,-4030.69,-109.01,-6003.23,-965.13
    UNDERTAKERSFEE,-2497.79,-2953.79,-51644.2,-29279.63
    TELEPHONE COSTS,-101,-276.8,-2345.68,-861.11
NON CORE SERVICES,0,0,0,0
    TRANSPORT,-1060.2,-7731.44,-35925.73,-12271.65
    EQUIPMENT,-121.86,-1465.29,-14436.78,-4576.96
    REFRESHMENTS,1.32,0.48,-2.71,-7.85
    COMPENSATION,-109.64,0,-7880.54,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-3737.84,-6318.09,-49505.07,-19730.27
    DOCTERS' FEES,-518.96,-339.62,-3975.56,-1199.25
    GRAVE COSTS,-903.67,-4729.26,-29378.16,-15322.55
    RENTAL EXPENSES,-89,0.27,-482.85,-5.02
    CREMATION FEES,-903.67,-3.08,-6403.6,-2343.7
    OTHER TRANSPORT,13.99,-27320.07,-35264.43,-48289.6
    COMMUNITY INVOLVEMENT,-300,-199.73,-5200,-2599.46
    SUNDRY EXPENSES,-977.36,-826.52,-3238.77,-2760.97
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,8236.95,-47884.47,94314.14,-45243.79
 ,-----------------,-----------------,-----------------,-----------------
